Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
497|497|2013-12-24|91.97|92.85|91.97|92.65|135757|USD|497|1.01|0.4685978145607158|2018-05-17|4|2018-05-17|4|2018-05-17|4
498|498|2013-12-26|92.9|93.67|92.57|93.47|273502|USD|498|1.02|0.4679704683069093|2018-05-18|1|2018-05-18|1|2018-05-18|1
499|499|2013-12-27|94.78|94.83|93.9|94.07|924986|USD|499|0.995|0.4589395543019693|2018-05-22|1|2018-05-22|1|2018-05-22|1
500|500|2013-12-30|94.26|94.29|93.43|93.44|664084|USD|500|0.991|0.466992633159136|2018-05-23|3|2018-05-23|3|2018-05-23|3
501|501|2013-12-31|93.42|93.97|93.33|93.7|240332|USD|501|0.991|0.4652268081100199|2018-05-24|1|2018-05-24|1|2018-05-24|1
502|502|2014-01-02|92.62|92.82|92.02|92.36|649079|USD|502|0.997|0.4806298647082629|2018-05-29|4|2018-05-29|4|2018-05-29|4
503|503|2014-01-03|92.36|92.57|91.91|92.04|1084074|USD|503|0.986|0.4885406861680485|2018-05-30|3|2018-05-30|3|2018-05-30|3
504|504|2014-01-06|91.06|91.09|89.99|90.15|745103|USD|504|0.977|0.4939343814833839|2018-05-31|1|2018-05-31|1|2018-05-31|1
505|505|2014-01-07|88.97|89.6|88.81|89.39|880493|USD|505|1.003|0.5043201403745051|2018-06-01|1|2018-06-01|1|2018-06-01|1
506|506|2014-01-08|89.28|89.73|88.96|89.63|785002|USD|506|1.0170000000000001|0.5073919559629091|2018-06-04|2|2018-06-04|2|2018-06-04|2
507|507|2014-01-09|90.76|90.76|89.66|90.14|824049|USD|507|0.995|0.4950223337398859|2018-06-05|1|2018-06-05|1|2018-06-05|1
508|508|2014-01-10|90.28|91.07|90.08|91.07|759837|USD|508|0.998|0.4907058719223882|2018-06-06|2|2018-06-06|2|2018-06-06|2
509|509|2014-01-13|90.08|90.77|90.05|90.36|1158129|USD|509|1.001|0.4804111480826188|2018-06-11|1|2018-06-11|1|2018-06-11|1
510|510|2014-01-14|90.2|91.41|90.13|91.19|1124632|USD|510|1.001|0.4767502621055582|2018-06-13|3|2018-06-13|3|2018-06-13|3
511|511|2014-01-15|90.29|90.75|89.1|89.44|1521797|USD|511|0.9590000000000001|0.4817041980345414|2018-06-14|1|2018-06-14|1|2018-06-14|1
512|512|2014-01-16|86.57|86.67|84.84|85.22|2774666|USD|512|0.9670000000000001|0.4923723854619715|2018-06-19|2|2018-06-19|2|2018-06-19|2
513|513|2014-01-17|83.69|84.48|83.28|84.4|3130422|USD|513|1.0190000000000001|0.5396792892221466|2018-06-20|1|2018-06-20|1|2018-06-20|1
514|514|2014-01-21|85.3|87.28|84.88|87.15|3920251|USD|514|1.072|0.5325722650541191|2018-06-22|1|2018-06-22|1|2018-06-22|1
515|515|2014-01-22|91.43|92.29|90.15|91.29|3541223|USD|515|0.986|0.4936997045594091|2018-06-27|7|2018-06-27|7|2018-06-27|7
516|516|2014-01-23|90.17|90.17|87.28|88.39|2320319|USD|516|0.9990000000000001|0.51345087438551|2018-06-28|1|2018-06-28|1|2018-06-28|1
517|517|2014-01-24|90.04|90.09|87.48|87.59|2386327|USD|517|0.982|0.5094734963801724|2018-07-02|1|2018-07-02|1|2018-07-02|1
518|518|2014-01-27|88.44|88.51|87.05|87.62|1931706|USD|518|0.9940000000000001|0.5192854100337664|2018-07-05|1|2018-07-05|1|2018-07-05|1
519|519|2014-01-28|87.88|88.1|86.35|86.44|1367858|USD|519|0.9740000000000001|0.5233611010543708|2018-07-10|1|2018-07-10|1|2018-07-10|1
520|520|2014-01-29|85.6|86.72|85.35|85.65|1255507|USD|520|1.0190000000000001|0.5576050135854514|2018-07-12|1|2018-07-12|1|2018-07-12|1
521|521|2014-01-30|87.21|87.35|85.03|85.23|1619710|USD|521|0.961|0.520402702895286|2018-07-13|1|2018-07-13|1|2018-07-13|1
522|522|2014-01-31|83.8|85.14|83.76|84.63|828269|USD|522|1.02|0.5710722077342818|2018-07-16|1|2018-07-16|1|2018-07-16|1
523|523|2014-02-03|85.46|85.74|83.93|84.56|1136942|USD|523|0.987|0.556345786890742|2018-07-17|1|2018-07-17|1|2018-07-17|1
524|524|2014-02-04|84.33|84.82|83.92|84.09|1074454|USD|524|1.005|0.5809129114815825|2018-07-18|6|2018-07-18|6|2018-07-18|6
525|525|2014-02-05|84.77|85.49|84.19|85.16|854388|USD|525|1.0170000000000001|0.5599376831169082|2018-07-19|2|2018-07-19|2|2018-07-19|2
526|526|2014-02-06|86.23|87.06|86.19|86.84|568359|USD|526|1.005|0.5736169072481768|2018-07-23|2|2018-07-23|2|2018-07-23|2
527|527|2014-02-07|86.68|87.61|86.39|87.56|768094|USD|527|1.0090000000000001|0.5559078358831523|2018-07-25|1|2018-07-25|1|2018-07-25|1
528|528|2014-02-10|87.42|87.66|87.05|87.54|298963|USD|528|1.006|0.5418570037859743|2018-07-30|1|2018-07-30|1|2018-07-30|1
529|529|2014-02-11|87.93|89.61|87.92|89.61|374953|USD|529|1.008|0.5508846416601995|2018-07-31|1|2018-07-31|1|2018-07-31|1
530|530|2014-02-12|88.67|88.9|87.86|87.93|1205028|USD|530|0.988|0.5395604963750954|2018-08-01|2|2018-08-01|2|2018-08-01|2
531|531|2014-02-13|87.65|88.61|87.53|88.47|1823931|USD|531|1.016|0.5447389858055307|2018-08-07|1|2018-08-07|1|2018-08-07|1
532|532|2014-02-14|89.02|89.21|88.6|89.18|1188423|USD|532|1.01|0.5394356880971576|2018-08-09|1|2018-08-09|1|2018-08-09|1
533|533|2014-02-18|89.95|89.98|89.04|89.68|3076869|USD|533|0.995|0.5362777075475882|2018-08-10|2|2018-08-10|2|2018-08-10|2
